relation	kind	ordinal	column	type	example / structure	direct upstream source / derivation	description	null meaning
course_catalog_20251215	table	1	ISBN13	bigint	13-digit numeric ISBN or numeric source identifier; NULL when absent	BMG Discovery Extract field `ISBN13`; direct CSV import; configured null tokens become NULL.	Book or material identifier used for cross-source matching.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	2	Title	varchar	Material title; source punctuation/casing retained	BMG Discovery Extract field `Title`; direct CSV import; configured null tokens become NULL.	Title supplied for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	3	Author	varchar	Person/organization name; source punctuation/casing retained	BMG Discovery Extract field `Author`; direct CSV import; configured null tokens become NULL.	Author credited for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	4	Publisher	varchar	Publisher name; original spelling/casing retained	BMG Discovery Extract field `Publisher`; direct CSV import; configured null tokens become NULL.	Publisher credited for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	5	Imprint	varchar	Publishing imprint; original spelling/casing retained	BMG Discovery Extract field `Imprint`; direct CSV import; configured null tokens become NULL.	Publishing imprint named for the adopted material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	6	Format	varchar	Source material format; original casing retained	BMG Discovery Extract field `Format`; direct CSV import; configured null tokens become NULL.	Material format supplied by the catalog source.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	7	FormatType	varchar	Catalog FormatType label; original spelling retained	BMG Discovery Extract field `FormatType`; direct CSV import; configured null tokens become NULL.	Catalog classification label for the material format.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	8	book_status	varchar	lowercase: required, recommended, option, NULL	BMG Discovery Extract field `Book Status`; lowercase + trim.	Adoption priority assigned to the course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	9	unit_id	bigint	IPEDS institution identifier	BMG Discovery Extract field `IPED ID`; direct CSV import; configured null tokens become NULL.	IPEDS institution identifier used throughout the pipeline.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	10	school	varchar	Institution name; source spelling/casing retained	BMG Discovery Extract field `School`; direct CSV import; configured null tokens become NULL.	Institution or school name attached to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	11	state	varchar	Normalized state or province code, such as `CA` or `CAN`	BMG Discovery Extract field `State`; direct CSV import; configured null tokens become NULL.	State or province code for the institution.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	12	dept_code	varchar	Department code, such as `BIOL`	BMG Discovery Extract field `Dept Code`; direct CSV import; configured null tokens become NULL.	Short code identifying the academic department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	13	department	varchar	Academic department, such as `Biology`	BMG Discovery Extract field `Department`; direct CSV import; configured null tokens become NULL.	Academic department responsible for the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	14	dept_description	varchar	Expanded source description of the academic department	BMG Discovery Extract field `Dept Description`; direct CSV import; configured null tokens become NULL.	Expanded description of the academic department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	15	course_number	varchar	Source course number; zeros/suffixes retained	BMG Discovery Extract field `Course Number`; direct CSV import; configured null tokens become NULL.	Catalog number identifying the course within its department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	16	section	varchar	Source section code; zeros/punctuation retained	BMG Discovery Extract field `Section`; direct CSV import; configured null tokens become NULL.	Source code distinguishing sections of the same course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	17	course_title	varchar	Course title; source punctuation/casing retained	BMG Discovery Extract field `Course Title`; direct CSV import; configured null tokens become NULL.	Official title assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	18	course_level	varchar	Category such as `Introductory or general undergraduate`	BMG Discovery Extract field `Course Level`; direct CSV import; configured null tokens become NULL.	Instructional level assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	19	course_subject	varchar	Source subject, such as `Biology`	BMG Discovery Extract field `Course Subject`; direct CSV import; configured null tokens become NULL.	Subject area assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	20	period	varchar	"e.g. ""Fall 2024"""	BMG Discovery Extract field `Period`; direct CSV import; configured null tokens become NULL.	Human-readable academic term label from the source.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	21	enrollments	integer	Reported student count; source noise can include negative values	BMG Discovery Extract field `Enrollments`; TRY_CAST to INTEGER.	Enrollment reported directly for the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	22	seats_taken	integer	Reported occupied seats; `9999` is the source sentinel	BMG Discovery Extract field `Seats Taken`; TRY_CAST to INTEGER.	Occupied seats reported for the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	23	instructor	varchar	Instructor name; source punctuation/casing retained	BMG Discovery Extract field `Instructor`; direct CSV import; configured null tokens become NULL.	Instructor name attached to the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	24	first_name	varchar	Given name; source punctuation/casing retained	BMG Discovery Extract field `FirstName`; direct CSV import; configured null tokens become NULL.	Given name of the course instructor.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	25	last_name	varchar	Family name; source punctuation/casing retained	BMG Discovery Extract field `LastName`; direct CSV import; configured null tokens become NULL.	Family name of the course instructor.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	26	email	varchar	cleaned/normalized from raw E-Mail	BMG Discovery Extract field `E-Mail`; extract/clean first address, remove embedded spaces, lowercase + trim.	Normalized instructor email used for contact and matching.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	27	course_id	varchar	unit_id::dept_code::course_number	Concatenate normalized `IPED ID`, `Dept Code`, and `Course Number` with `::`; missing segments become `UNKNOWN`.	Stable identifier for the institution-level course offering.	Not produced; missing composite segments are encoded as `UNKNOWN`.
course_catalog_20251215	table	28	section_id	varchar	unit_id::dept_code::course_number::section::period_sortable — includes period so each section-offering is unique	Concatenate `course_id`, normalized `Section`, and derived term with `::`; missing segments become `UNKNOWN`.	Period-specific identifier for the distinct section offering.	Not produced; missing composite segments are encoded as `UNKNOWN`.
course_catalog_20251215	table	29	period_sortable	varchar	YYYY-N where 1=Winter 2=Spring 3=Summer 4=Fall	Map `Period` season/year to `YYYY-N` (Winter=1 through Fall=4).	Sortable academic term code used for chronological ordering.	Unrecognized or missing academic-period text.
course_catalog_20251215	table	30	period_date	date	canonical: 01-01, 04-01, 07-01, 10-01	Map `Period` to the canonical first day for its season.	Canonical starting date assigned to the academic term.	Unrecognized or missing academic-period text.
ipeds_data	table	1	unitid	integer	IPEDS institution identifier	IPEDS field `UNITID`; TRY_CAST to INTEGER; configured null tokens normalized.	IPEDS institution identifier from the institutional source.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
ipeds_data	table	2	instnm	varchar	Official IPEDS institution-name text	IPEDS field `INSTNM`; configured null tokens normalized.	Official institution name reported by IPEDS.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
ipeds_data	table	3	sector	varchar	IPEDS sector descriptor, such as `Public, 4-year or above`	IPEDS field `SECTOR`; configured null tokens normalized.	IPEDS sector classification for the institution.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
ipeds_data	table	4	iclevel	varchar	"string descriptor, e.g., ""Four or more years"""	IPEDS field `ICLEVEL`; configured null tokens normalized.	IPEDS award-level classification for the institution.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
ipeds_data	table	5	control	varchar	IPEDS label such as `Public` or `Private not-for-profit`	IPEDS field `CONTROL`; configured null tokens normalized.	Institution ownership and governance classification used for reporting.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
ipeds_data	table	6	instsize	varchar	"string descriptor, e.g., ""20,000 and above"""	IPEDS field `INSTSIZE`; configured null tokens normalized.	IPEDS institutional enrollment-size classification used for reporting.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
ipeds_data	table	7	enroll_24	integer	2024 enrollment	IPEDS field `Enroll_24`; TRY_CAST to INTEGER; configured null tokens normalized.	Total institutional enrollment reported to IPEDS for 2024.	IPEDS field unavailable, configured as missing, or failed TRY_CAST.
